body	heart	cor, cordis n.
body	blood	sanguis, sanguinis m.
body	brain	cerebrum, cerebrī n.
body	knee	genū, genūs n.
body	sweat	sūdor, sudōris m.
body	disease	morbus, morbī n.
body	bone	ŏs, ŏssis n.
body	voice	vōx, vōcis f.
body	skin	cutis, cutis f.
body	body	corpus, corporis n.
nature	sea	mare, maris n.
nature	ocean	Ōceanus, Ōceanī m.
nature	river	flūmen, flūminis n.
nature	mountain	mōns, montus m.
nature	rain	imber, imbris m.
nature	snow	nix, nivis f.
nature	tree	arbor, arboris f.
nature	sun	sōl, sōlis m.
nature	moon	lūna, lūnae f.
nature	world	mundus, mundī m.
nature	Earth	orbis terrārum, orbis terrārum m.
nature	forest	silva, silvae f.
nature	sky	caelum, caelī n.
nature	plant	herba, herbae f.
nature	wind	ventus, ventī m.
nature	soil, earth	solum, solī n.
nature	flower	flōs, flōris m.
nature	valley	vallis, vallis f.
nature	root	rādīx, rādīcis f.
nature	lake	lacus, lacūs m.
nature	star	stēlla, stēllae f.
nature	grass	grāmen, grāminis n.
nature	leaf	folium, foliī n.
nature	air	āēr, āēris m.
nature	sand	hārena, harēnae f.
nature	beach	lītus, lītoris n.
nature	wave	unda, undae f.
nature	fire	ignis, ignis m.
nature	ice	glaciēs, glaciēī f.
nature	island	īnsula, īnsulae f.
nature	hill	collis, collis m.
nature	heat	calor, calōris m.
nature	nature	nātūra, nātūrae f.
materials	glass	vitrum, vitriī n.
materials	metal	metallum, metallī n.
materials	wood	lignum, lignī n.
materials	stone	lapis, lapidis m.
materials	diamond	adamās, adamantis m.
materials	clay	lutum, lutī n.
materials	dust	pulvis, pulveris m.
materials	gold	aurum, aurī n.
materials	copper	aes, aeris n.
materials	silver	argentum, argenī n.
materials	material	māteria, māteriae f.
maths	metre	metrum, metrī n.
maths	centimetre	centimetrum, centimetrī n.
maths	kilogram	chilogramma, chilogrammatis n.
maths	inch	ūncia, ūnciae f. 
maths	foot	pēs, pedis m.
maths	pound	lībra, lībrae f.
maths	half ½	dīmidium, dīmidiī n. 
maths	third ⅓	triēns, trientis m.
maths	two thirds ⅔	bēs, bessis m
maths	quarter ¼	quadrāns, quadrantis m.
maths	three quarters ¾	dōdrāns, dōdrantis m.
maths	circle	circulus, circulī m.
maths	square	quadrātum, quadrātī n.
maths	date	diēs, diēī m. & f. 
maths	weight	pondus, ponderis n.
maths	edge	margō, marginis m. & f. 
maths	corner	angulus, angulī m.
miscellany	map	tabula geōgraphica, tabulae geōgraphicae f.
miscellany	dot	pūnctum, pūnctī n.
miscellany	consonant	cōnsonāns, cōnsonantis f.
miscellany	vowel	vōcālis, vōcālis f.
miscellany	light	lūx, lūcis f.
miscellany	sound	sonus, sonī m.
